#{"t_start": 1774499007.4843695, "env_id": "None"}
r,l,t
-84.066092,169,5594.10473
-64.223524,258,5626.049713
-149.333595,139,5643.613199
131.24487,163,5664.044094
-113.166746,108,5677.786258
128.717069,294,5713.980022
-96.344569,128,5730.114907
-90.064608,189,5753.718135
-233.447433,226,5781.878591
110.436738,56,5791.158356
-340.413983,51,6343.956195
-67.093943,225,6371.958712
-109.854576,215,6398.770792
-96.595429,182,6421.618651
-91.144849,202,6446.825368
46.051581,237,6479.235174
-100.67882,118,6494.230247
120.28891,152,6513.39309
-150.877449,171,6534.781341
-111.932976,142,6552.65528
-111.59541,176,6574.599032
-119.081264,154,6593.933433
-104.609679,76,6605.627644
85.495086,184,6628.809891
124.543071,103,6641.995377
-121.46594,221,6669.487796
110.671041,190,6693.198663
-199.502319,449,6748.294259
149.658711,401,6797.766091
-158.368014,219,6825.086411
-102.153838,136,6842.275527
130.378485,196,6866.879943
108.033139,105,6880.331308
-89.678736,104,6893.649997
-90.571528,121,6909.133028
75.012708,336,6950.649717
-124.687296,162,6971.059158
112.836783,67,6979.891397
114.972455,173,7004.449086
126.511162,390,7052.346542
59.222392,307,7090.272574
-114.544827,196,7114.719558
-104.527987,154,7134.082423
130.92492,232,7162.880606
42.861528,269,7196.153469
-166.775978,332,7237.015483
-106.574209,83,7247.84284
107.265784,142,7265.81559
-84.402903,334,7307.087625
-203.800167,221,7334.73263
-142.092784,157,7354.460451
-116.105384,123,7370.097529
135.13542,223,7397.984339
-126.271744,148,7416.697109
118.801915,113,7431.082763
-143.977377,137,7448.439062
-110.817382,141,7466.237753
-133.017842,217,7493.227691
-101.009727,32,7500.707765
109.262308,73,7510.253587
-111.087745,84,7521.122396
-95.278049,143,7539.160218
-91.763307,119,7554.314893
-139.316424,194,7578.654249
148.175347,184,7601.688426
-444.131065,35,8095.438431
117.06793,206,8122.255933
-148.51443,124,8138.017203
135.222903,164,8158.540386
104.106646,254,8190.177636
-99.045896,107,8203.861185
147.808832,219,8231.076842
-101.663956,170,8252.343005
-143.507185,148,8272.051198
-239.968307,422,8324.474066
-127.070981,172,8346.105999
-140.971457,289,8382.044274
-104.195789,179,8404.499238
126.402123,223,8432.479177
-136.614376,148,8451.122185
-123.090792,184,8476.004073
120.123189,184,8499.021984
96.21795,340,8543.944939
58.571735,346,8589.071419
-136.725222,93,8600.985056
21.421981,199,8625.856633
-102.498771,161,33449.240063
117.804721,75,33460.025418
123.98041,206,33485.332866
124.06271,267,33517.525501
126.55214,217,33543.634741
-101.675461,130,33559.659171
111.777462,93,33571.278284
143.506212,259,33602.33753
78.676115,181,33624.292013
118.896249,135,33640.700359
61.468575,179,33662.249514
97.983834,353,33705.86636
126.853293,204,33730.497219
118.451152,101,33742.943419
-125.018725,214,33768.66655
-105.736253,135,33785.166226
153.023467,397,33835.301672
95.965954,219,33861.402762
-112.655387,184,33883.619067
105.992787,169,33904.069673
118.048336,143,33921.072422
-96.193143,162,33940.702955
109.419701,153,33960.999113
-110.779894,183,33982.975495
-91.73368,137,33999.663543
-138.722612,298,34035.057111
