episode,reward,length,loss,entropy_param
1,-190.990573,128,nan,nan
2,-98.364596,78,nan,nan
3,-273.972605,233,nan,nan
4,-124.25349,84,nan,nan
5,-199.793713,159,nan,nan
6,-193.002748,92,nan,nan
7,-133.669347,55,nan,nan
8,-132.357615,111,nan,nan
9,-144.34925,79,-1.3514829874038696,0.9949063062667847
10,-159.513662,91,-1.404183030128479,0.9680871963500977
11,-79.340605,138,-1.520284652709961,0.9291356205940247
12,-223.387213,336,1.0298455953598022,0.8443416953086853
13,-119.669905,120,1.3735578060150146,0.8179105520248413
14,-102.124967,77,0.8774195909500122,0.80136638879776
15,-126.523488,164,1.8416378498077393,0.7678223848342896
16,-178.037278,249,1.7112078666687012,0.7194018363952637
17,-177.450171,600,1.9144939184188843,0.6075451374053955
18,-142.232254,414,2.1896986961364746,0.5387346744537354
19,-228.719824,231,3.2931861877441406,0.5036863088607788
20,-126.765033,159,3.346813678741455,0.48095086216926575
21,-286.888929,254,3.637507438659668,0.4468482732772827
22,-208.910526,249,5.472869873046875,0.41612938046455383
23,-118.733553,62,5.077904224395752,0.408847838640213
24,-151.589027,191,3.9511380195617676,0.38748183846473694
25,-364.714959,553,5.513702392578125,0.33269599080085754
26,-182.050882,93,5.617704391479492,0.32424578070640564
27,-170.6744,123,6.900605201721191,0.3135727643966675
28,-150.39616,147,6.926419258117676,0.3012297749519348
29,-111.789543,174,8.312137603759766,0.2873680591583252
30,-147.555819,238,9.790916442871094,0.2691355049610138
31,-211.923081,172,7.9960103034973145,0.2568405270576477
32,-132.671376,95,10.209672927856445,0.25028589367866516
33,-106.759567,158,8.990718841552734,0.2398054599761963
34,-143.457504,94,9.556381225585938,0.23382151126861572
35,-155.946401,160,10.651205062866211,0.2241116762161255
36,119.662474,53,9.630228996276855,0.2209022343158722
37,-150.13665,110,10.554688453674316,0.21462447941303253
38,-141.863955,156,11.854997634887695,0.20589277148246765
39,-90.926704,139,10.721149444580078,0.19837716221809387
40,-114.087558,113,12.871903419494629,0.19263941049575806
41,-136.19153,368,14.817204475402832,0.17534540593624115
42,-155.002392,87,12.672579765319824,0.17162100970745087
43,-90.681615,101,13.237600326538086,0.16733939945697784
44,-102.911614,81,13.502197265625,0.16406534612178802
45,-109.118128,169,14.28934097290039,0.15747155249118805
46,-211.138091,160,15.460565567016602,0.15152983367443085
47,-150.533921,128,14.313490867614746,0.14690174162387848
48,-139.976687,138,16.432600021362305,0.1420062929391861
49,-323.192768,323,16.708696365356445,0.13138942420482635
50,-114.925456,50,18.013212203979492,0.12981878221035004
51,-97.370289,101,16.562175750732422,0.12665517628192902
52,-148.8294,186,15.960197448730469,0.1213013231754303
53,-148.573958,134,16.70160675048828,0.11766571551561356
54,-175.457915,190,18.524084091186523,0.11267450451850891
55,-235.912536,274,20.357078552246094,0.10570740699768066
56,-117.057557,96,18.926403045654297,0.10333088040351868
57,-359.065374,397,19.83831787109375,0.0947442576289177
58,-388.751949,86,18.679073333740234,0.09300131350755692
59,-101.1,1,20.42238998413086,0.09298094362020493
60,-263.785016,487,22.32499122619629,0.08428991585969925
61,-115.010765,89,22.510814666748047,0.08282609283924103
62,-201.894342,127,24.410261154174805,0.08082776516675949
63,-210.892709,277,25.854610443115234,0.07675657421350479
64,-174.863099,136,24.172115325927734,0.07484326511621475
65,-117.828017,233,25.719276428222656,0.07199399173259735
66,-231.230141,315,25.649551391601562,0.06886802613735199
67,-103.5495,75,27.08562660217285,0.06837434321641922
68,-114.156301,181,27.197601318359375,0.06675608456134796
69,-85.114475,86,24.934680938720703,0.06611760705709457
70,-99.090916,77,26.719451904296875,0.0656060129404068
71,136.225903,87,26.50872039794922,0.06497462093830109
72,-135.257867,177,28.15442657470703,0.06405466049909592
73,-98.807308,165,26.99917984008789,0.06327210366725922
74,121.124949,39,28.185680389404297,0.06314408034086227
75,118.421185,74,28.37984275817871,0.06252588331699371
76,-133.003723,154,28.951213836669922,0.06196073815226555
77,-244.208231,434,28.436466217041016,0.060362204909324646
78,-115.192099,104,28.796367645263672,0.05985460430383682
79,-213.695117,482,29.0460205078125,0.05916321277618408
80,-108.689525,117,30.587509155273438,0.05930520221590996
81,-218.579527,453,31.253684997558594,0.05958612263202667
82,-155.49376,131,30.126049041748047,0.06021038070321083
83,-252.331158,409,30.167308807373047,0.060787003487348557
84,-166.766431,223,31.105533599853516,0.06153089553117752
85,-126.251601,600,32.29534149169922,0.06330972909927368
86,121.583393,87,31.577898025512695,0.0636417344212532
87,-93.851552,58,32.135414123535156,0.0641121044754982
88,-181.743796,340,31.343217849731445,0.06479259580373764
89,115.930121,244,33.4560661315918,0.06528814882040024
90,-319.042257,273,31.882713317871094,0.06506197899580002
91,116.756756,70,32.727195739746094,0.06515254080295563
92,-142.809009,198,34.06670379638672,0.06572886556386948
93,111.698495,50,33.40704345703125,0.06527435779571533
94,-82.085785,95,33.42497253417969,0.06526636332273483
95,116.115344,35,31.183029174804688,0.06528351455926895
96,-112.52046,129,33.58353805541992,0.06545253098011017
97,-390.931908,600,35.84880065917969,0.06681443750858307
98,113.06599,147,34.867271423339844,0.0676603689789772
99,-96.999392,80,34.880706787109375,0.06844189763069153
100,-106.139313,86,38.63107681274414,0.06822896003723145
101,-95.55476,64,33.147586822509766,0.06837450712919235
102,-96.332476,116,36.449493408203125,0.0691419169306755
103,-320.785512,432,37.668792724609375,0.06970028579235077
104,-83.014314,58,35.00226593017578,0.0696912631392479
105,-107.408711,93,36.814334869384766,0.07048185169696808
106,-340.350984,600,36.43742370605469,0.07104627788066864
107,141.662424,66,36.75235366821289,0.07126344740390778
108,-87.906134,50,37.529380798339844,0.07131429016590118
109,133.572974,131,35.57413101196289,0.0721018984913826
110,-96.326511,102,37.48591613769531,0.0728224366903305
111,117.034735,30,35.08369445800781,0.07304065674543381
112,-463.40592,33,36.75328826904297,0.07363732159137726
113,-101.1,1,40.18003845214844,0.07365459203720093
114,-94.016256,90,37.425315856933594,0.07440947741270065
115,-110.947888,97,39.42960739135742,0.07489544153213501
116,-53.419439,600,36.83445739746094,0.0763995423913002
117,-83.102011,66,38.7685432434082,0.07698041200637817
118,-115.07908,77,37.15065002441406,0.07804825901985168
119,-98.57894,66,39.27537536621094,0.07812833786010742
120,134.367259,99,37.12745666503906,0.0779440850019455
121,-104.186539,70,36.23915481567383,0.07780223339796066
122,67.667219,169,37.11549377441406,0.07732817530632019
123,139.377614,75,37.026329040527344,0.07676822692155838
124,-144.634799,392,39.26739501953125,0.07639164477586746
125,-88.279752,44,38.106300354003906,0.07736919075250626
126,-138.942883,168,37.567970275878906,0.07659351080656052
127,-110.197796,122,39.27039337158203,0.07710033655166626
128,-147.638023,284,40.488243103027344,0.07702038437128067
129,-87.663667,52,39.66465377807617,0.07699399441480637
130,125.941751,51,37.004547119140625,0.07637111842632294
131,126.191531,61,39.71937561035156,0.0768834799528122
132,-157.701795,317,39.01637268066406,0.0765775665640831
133,-134.162453,203,38.442771911621094,0.07521700114011765
134,-78.864435,83,38.457923889160156,0.07522011548280716
135,166.539516,134,41.516845703125,0.07529592514038086
136,-92.63318,85,41.3388671875,0.07450118660926819
137,135.08551,64,39.76411437988281,0.07382603734731674
138,115.61915,74,40.70627975463867,0.0735296756029129
139,-266.540435,565,39.5194091796875,0.07194731384515762
140,-131.495859,233,40.955284118652344,0.07183454930782318
141,-164.049611,149,38.93888854980469,0.07264235615730286
142,-101.467183,166,41.363460540771484,0.07307984679937363
143,116.596066,34,40.23835754394531,0.07323281466960907
144,-124.868474,123,40.96495056152344,0.07338226586580276
145,113.155099,25,40.603797912597656,0.0736919492483139
146,-71.650988,116,41.42620086669922,0.07351299375295639
147,-191.546579,338,40.83636474609375,0.07268602401018143
148,-65.782427,103,41.37254333496094,0.07297922670841217
149,-59.813402,68,40.47281265258789,0.07243606448173523
150,-115.702462,143,44.088130950927734,0.07226168364286423
151,124.486185,78,40.7752685546875,0.0727512538433075
152,119.362637,48,40.1309814453125,0.0730438083410263
153,-104.291444,91,40.99089050292969,0.07364555448293686
154,-108.588872,93,42.29545593261719,0.07328793406486511
155,-85.669179,104,40.57853698730469,0.07398811727762222
156,131.724044,55,40.60016632080078,0.07457985728979111
157,-150.450348,188,41.06324005126953,0.0752144530415535
158,-81.35277,52,40.309288024902344,0.07545354962348938
159,-79.824933,46,41.024986267089844,0.07616280764341354
160,-175.559954,396,41.71278381347656,0.07785564661026001
161,-264.311498,600,42.487545013427734,0.07899577915668488
162,-172.000285,170,43.4875602722168,0.07952279597520828
163,114.700889,40,40.62260437011719,0.07939803600311279
164,-77.174881,85,43.89104461669922,0.07944776117801666
165,135.688605,78,43.2337646484375,0.07885803282260895
166,-106.798908,78,44.334503173828125,0.07933851331472397
167,118.519405,25,43.801612854003906,0.07929925620555878
168,-75.585734,81,42.69657897949219,0.07999233156442642
169,112.343434,41,44.73428726196289,0.08005473762750626
170,-93.940955,78,44.39695358276367,0.08004841953516006
171,-107.685484,72,43.705604553222656,0.07971090823411942
172,76.653263,406,43.97229766845703,0.07875373959541321
173,-27.137498,600,43.88795471191406,0.08213672041893005
174,131.95665,59,43.86289978027344,0.08240249752998352
175,-87.185531,360,45.95509338378906,0.08227817714214325
176,-100.447851,101,48.650020599365234,0.08280378580093384
177,134.430144,47,43.0329475402832,0.08316192775964737
178,-73.523155,105,44.903770446777344,0.08403417468070984
179,-554.364671,216,44.622501373291016,0.08522359281778336
180,-307.877153,600,44.10771179199219,0.08526052534580231
181,120.44256,83,46.99040985107422,0.08441999554634094
182,-408.519244,457,44.414764404296875,0.08260821551084518
183,120.0575,245,46.456729888916016,0.0816044881939888
184,121.933767,47,45.256683349609375,0.08148270100355148
185,-62.293535,600,47.05762481689453,0.08128463476896286
186,90.726264,235,46.16047668457031,0.08030381798744202
187,137.932116,86,44.178077697753906,0.08054807782173157
188,-84.665798,42,46.269744873046875,0.08068261295557022
189,-112.595172,67,44.92292785644531,0.0806456133723259
190,-99.735075,101,49.446266174316406,0.08121956139802933
191,113.626263,30,45.2518310546875,0.08113866299390793
192,119.104424,92,47.987396240234375,0.0812106728553772
193,146.179171,96,46.964141845703125,0.08226149529218674
194,-113.091451,222,46.845970153808594,0.08198517560958862
195,140.537025,69,46.34358596801758,0.0819050520658493
196,-98.332374,199,43.88724136352539,0.0832853615283966
197,-42.070673,600,48.549957275390625,0.08328942954540253
198,-74.195672,72,47.46941375732422,0.08332742750644684
199,-51.063787,127,44.38557434082031,0.08329138159751892
200,102.530058,96,44.552520751953125,0.08329062908887863
201,143.312511,83,47.47966003417969,0.08340802788734436
202,131.650009,57,46.0885009765625,0.08387713879346848
203,129.31566,48,44.91996765136719,0.08358438313007355
204,120.171859,31,42.648193359375,0.0836300179362297
205,133.611871,57,41.65655517578125,0.08381041884422302
206,157.24212,382,47.15825653076172,0.08479159325361252
207,-96.350973,57,48.50779724121094,0.08506239205598831
208,-155.910992,239,46.44482421875,0.08708778768777847
209,148.843462,68,44.826324462890625,0.08701226115226746
210,126.494014,54,48.781402587890625,0.08700838685035706
211,84.738367,188,45.75425720214844,0.08743837475776672
212,-99.412035,98,46.07158279418945,0.08713923394680023
213,-127.614111,107,46.610511779785156,0.0862264558672905
214,156.634574,91,46.19446563720703,0.08587053418159485
215,-116.495119,600,44.75090789794922,0.08477002382278442
216,-58.291914,103,43.62270736694336,0.08348286896944046
217,115.871552,228,46.27202606201172,0.08262712508440018
218,-90.270935,70,45.48814392089844,0.0824049562215805
219,-92.148618,65,42.26935577392578,0.08172345161437988
220,139.025868,144,46.0247802734375,0.08182814717292786
221,119.429635,30,45.13866424560547,0.08146420866250992
222,-108.159921,128,43.830787658691406,0.0820092186331749
223,-100.025042,215,43.39879608154297,0.08091840893030167
224,-173.292753,539,43.393192291259766,0.08083780854940414
225,81.114343,268,46.113128662109375,0.08093870431184769
226,133.995859,115,44.97370910644531,0.08058259636163712
227,120.731652,110,45.008460998535156,0.08139068633317947
228,123.024788,100,43.96528625488281,0.08145618438720703
