#{"t_start": 1774620676.1220536, "env_id": "None"}
r,l,t
-71.736938,447,5482.138951
-248.725242,405,5525.722582
-681.325077,2,5927.188559
-101.1,1,5928.016259
-82.070662,113,5940.87501
88.272293,107,5953.198241
-91.601514,76,5962.07081
-108.137542,87,5972.212022
-105.947653,93,5982.990185
158.347432,134,5997.931909
132.433783,87,6007.853011
-104.941725,83,6017.334005
-89.476959,68,6027.045866
128.538102,114,6039.792956
-336.177218,572,6101.084989
119.720971,48,6108.677875
-145.942593,96,6119.526546
116.990475,31,6123.512145
-100.363624,438,6170.537852
-58.376361,80,6179.714827
119.863077,38,6184.453335
115.432794,45,6189.925274
103.891055,79,6199.002921
-79.592065,102,6210.502669
85.187758,207,6233.102516
129.6477,51,6240.991647
-96.522529,72,6249.311193
-80.592617,61,6256.46178
115.766112,195,6277.778801
130.196372,54,6284.184158
119.796824,112,6296.729784
52.460681,579,6358.604751
118.520589,115,6371.45756
-127.069012,180,6391.203964
-77.776789,53,6397.510185
-89.152236,56,6404.146427
141.738082,63,6411.502825
112.322951,31,6415.481415
-84.861059,200,6437.335619
-133.63156,146,6453.469295
168.359857,213,6476.648682
-241.029503,305,6509.564327
-87.638912,241,6535.749059
-198.200775,284,6566.502329
122.220896,42,6571.649001
156.080194,95,6582.40238
-84.15178,53,6588.728577
-47.040626,165,6606.872669
-80.249886,59,6615.590943
-91.10112,62,6622.828279
-81.379253,65,6630.391216
-82.84533,85,6640.078564
-105.765747,79,6649.112273
46.882789,276,6678.978491
152.075884,222,6703.122848
-94.246813,127,6717.220282
163.389328,270,6746.454044
82.671177,115,6759.282836
112.55294,33,6763.488133
134.058213,114,6778.033386
-83.872976,65,6785.600482
-70.380491,62,6792.856147
-87.061594,51,6798.943811
146.761381,74,6807.541348
154.939437,72,6815.843381
-92.571374,139,6833.074235
129.248277,53,6839.363254
127.585234,52,6845.556124
119.195335,47,6851.236104
-88.146571,79,6862.100472
152.271382,111,6874.563711
-162.922725,465,6924.356343
120.785049,48,6930.134549
-90.932143,138,6945.408246
-87.709384,67,6953.189863
147.335341,102,6964.667198
-72.430409,72,6972.978687
122.568297,72,6981.274853
131.81112,90,6991.48148
129.323335,67,6999.262043
40.32953,202,7021.279927
